id,city,country,population
718,Winnipeg,Canada,705244
719,Quebec City,Canada,705103
720,Oslo,Norway,693494
721,Athens,Greece,664046
722,Bujumbura,Burundi,658859
723,Helsinki,Finland,642045
724,Skopje,Macedonia,640000
725,Chisinau,Moldova,639000
726,Riga,Latvia,614618
727,Kingston,Jamaica,580000
728,Rabat,Morocco,572717
729,Vilnius,Lithuania,574147
730,San Salvador,El Salvador,567698
731,Djibouti,Djibouti,562000
732,Dublin,Ireland,553165
733,The Hague,Netherlands,537833
734,Asuncion,Paraguay,524190
735,Lisbon,Portugal,506654
736,Bratislava,Slovakia,475503
737,Kitchener,Canada,470015
738,Tallinn,Estonia,438341
739,Beirut,Lebanon,361366
740,Cape Town,South Africa,433688
741,Tirana,Albania,418495
742,Wellington,New Zealand,418500
743,Dodoma,Tanzania,410956
744,Halifax,Canada,403131
745,Bissau,Guinea-Bissau,395954
746,Canberra,Australia,381488
747,Juba,South Sudan,372410
748,Yamoussoukro,Côte d'Ivoire,355573
749,Victoria,Canada,335696
750,Maseru,Lesotho,330790
751,Nicosia,Cyprus,330000
752,Windhoek,Namibia,322500
753,Port Moresby,Papua New Guinea,317374
754,Porto-Novo,Benin,300000
755,Sucre,Bolivia,300000
756,San Jose,Costa Rica,288054
757,Ljubljana,Slovenia,286745
758,Sarajevo,Bosnia And Herzegovina,275524
759,Nassau,The Bahamas,274400
760,Bloemfontein,South Africa,256185
761,Fort-de-France,Martinique,253995
762,New Delhi,India,249998
763,Gaborone,Botswana,231626
764,Paramaribo,Suriname,223757
765,Dili,Timor-Leste,222323
766,Male,Maldives,133019
767,Georgetown,Guyana,200500
768,Gibraltar,Gibraltar,187083
769,Saint-Denis,Reunion,190047
770,Malabo,Equatorial Guinea,187302
771,Podgorica,Montenegro,174515
772,Manama,Bahrain,157474
773,Port Louis,Mauritius,149194
774,Willemstad,Curaçao,150000
775,Bern,Switzerland,133798
776,Papeete,French Polynesia,131695
777,Luxembourg,Luxembourg,128512
778,Reykjavik,Iceland,128793
779,Praia,Cabo Verde,127832
780,Sri Jayewardenepura Kotte,Sri Lanka,115826
781,Bridgetown,Barbados,110000
782,Moroni,Comoros,111329
783,Thimphu,Bhutan,104000
784,Mbabane,Swaziland,94874
785,Noumea,New Caledonia,93060
786,Honiara,Solomon Islands,84520
787,Suva,Fiji,88271
788,Ankara,Turkey,77168
789,Castries,Saint Lucia,70000
790,Cayenne,French Guiana,61550
791,Sao Tome,Sao Tome And Principe,56166
792,Port-Vila,Vanuatu,51437
793,Hamilton,Bermuda,52320
794,Bandar Seri Begawan,Brunei,50000
795,Monaco,Monaco,36371
796,Gitega,Burundi,41944
797,Port of Spain,Trinidad And Tobago,37074
798,Apia,Samoa,37708
799,Tarawa,Kiribati,28802
800,Oranjestad,Aruba,34980
801,Saint Helier,Jersey,33522
802,Banjul,The Gambia,31356
803,Mamoudzou,Mayotte,32057
804,Majuro,Marshall Islands,30000
805,Douglas,Isle Of Man,27938
806,George Town,Cayman Islands,27704
807,Victoria,Seychelles,26450
808,Kingstown,Saint Vincent And The Grenadines,25000
809,Andorra la Vella,Andorra,22615
810,Saint John's,Antigua And Barbuda,21926
811,Nuku`alofa,Tonga,23221
812,Ashgabat,Turkmenistan,19426
813,Nuuk,Greenland,18326
814,Belmopan,Belize,17222
815,Roseau,Dominica,16582
816,Basseterre,Saint Kitts And Nevis,13220
817,Torshavn,Faroe Islands,13326
818,Pago Pago,American Samoa,12576
819,Valletta,Malta,6444
820,Gaza,Gaza Strip,234
821,Grand Turk,Turks And Caicos Islands,5801
822,Palikir,Federated States of Micronesia,6227
823,Funafuti,Tuvalu,6025
824,Vaduz,Liechtenstein,5668
825,Lobamba,Swaziland,5800
826,Avarua,Cook Islands,5445
827,Saint George's,Grenada,4315
828,San Marino,San Marino,4040
829,Al Quds,West Bank,1
830,Capitol Hill,Northern Mariana Islands,2500
831,Stanley,Falkland Islands (Islas Malvinas),2213
832,Vatican City,Vatican City,825
833,Alofi,Niue,1611
834,Basse-Terre,Guadeloupe,307
835,Hagta,Guam,1051
836,Marigot,Saint Martin,1
837,Jamestown,"Saint Helena, Ascension, And Tristan Da Cunha",714
838,Brades,Montserrat,391
839,Philipsburg,Sint Maarten,1
840,Yaren,Nauru,1
841,Pristina,Kosovo,1
842,Gustavia,Saint Barthelemy,1
843,Road Town,British Virgin Islands,1
844,Ngerulmud,Palau,271
845,Saint-Pierre,Saint Pierre And Miquelon,1
846,The Valley,Anguilla,1
847,Mata-Utu,Wallis And Futuna,1
848,Kingston,Norfolk Island,1
849,Longyearbyen,Svalbard,1
850,Tifariti,Morocco,1
851,Adamstown,Pitcairn Islands,1
852,Flying Fish Cove,Christmas Island,1
853,King Edward Point,South Georgia And South Sandwich Islands,1
854,Bareilly,India,1000000
855,Quang Ha,Vietnam,1000000
856,Xingcheng,China,993000
857,Dongtai,China,990306
858,Al Mansurah,Egypt,960423
859,Yingcheng,China,986400
860,Chiba,Japan,981738
861,Pekanbaru,Indonesia,983356
862,Luocheng,China,984100
863,Dnipro,Ukraine,980948
864,Danyang,China,980662
865,Natal,Brazil,980588
866,Nada,China,977700
867,Zamboanga City,Philippines,977234
868,Kirkuk,Iraq,975000
869,Naples,Italy,966144
870,Wuchuan,China,972400
871,Huilong,China,972525
872,Oklahoma City,United States,972943
873,Morelia,Mexico,962555
874,Cebu City,Philippines,964169
875,Shaoxing,China,961200
876,Coimbatore,India,959823
877,Santo Domingo Este,Dominican Republic,948855
878,Setagaya,Japan,940509
879,Songnam,South Korea,948757
880,Taishan,China,953900
881,Fangchenggang,China,953300
882,Solapur,India,951558
883,Tangier,Morocco,947952
